t_archivo,c_zero_cr,c_spectral_centroid,c_spectral_bw,c_spectral_rf,c_croma,c_norm_main_signal,c_norm_amplitude_db,c_mfcc_1,c_mfcc_2,c_mfcc_3,c_mfcc_4,c_mfcc_5,c_mfcc_6,c_mfcc_7,c_mfcc_8,c_mfcc_9,c_mfcc_10,c_mfcc_11,c_mfcc_12,c_mfcc_13,c_mfcc_14,c_mfcc_15,c_mfcc_16,c_mfcc_17,c_mfcc_18,c_mfcc_19,c_mfcc_20,c_bpm,c_auto_c,tgt
crop_10PorqueNoTeHacesParaAlla_...A.mp3,4,2715.262702,2946.911069,5690.359821,0.522904932,23791.76758,80454.14844,-105.734993,138.6455841,-47.05731201,62.77220917,-8.4977808,26.02184677,-3.590133905,13.78585339,4.822063446,9.297402382,3.111700296,4.746940613,7.614174366,2.67897892,1.687546611,-2.256606102,1.622781038,-0.651881993,2.338316202,-4.851854801,95.703125,0.535199537,mg
crop_02FrameByFrame.mp3,5,1841.054308,2104.540404,3758.24693,0.440656364,11267.23926,106966.5391,-194.1992035,188.1251068,-51.07584,40.42424011,-0.693125725,3.824854136,7.460307121,-2.721798182,5.507448673,-4.321610928,-3.247044325,0.797901452,-2.050416231,-1.992914081,-0.651374102,-1.63764739,-5.974970818,0.75811857,0.305485606,-7.941010475,156.6051136,0.596331054,mg
crop_05Omerta.mp3,18,3081.813361,3236.66494,6675.052392,0.619962156,31743.99023,75278.4375,-51.78315353,143.2089691,-48.25714493,65.07595062,-18.83921051,27.9091568,-8.124215126,20.32044792,-2.112547159,3.776628494,11.79038906,-1.048346519,13.49668312,-5.422338963,8.218473434,-6.734032154,2.407132387,-3.782058716,0.219885081,-0.518502474,139.6748311,0.591015872,mg
crop_18ElFinaldeNuestraHistoria.mp3,4,3355.224109,3760.162548,7445.95836,0.407292813,13693.21582,64493.29688,-142.6726379,125.4086456,-19.93837738,42.75133514,-21.01502037,27.0813179,-20.66041756,9.800726891,-18.02605629,14.84697342,-10.95611382,-1.282672286,-8.249537468,-2.438901901,-4.390142918,-4.129281044,-0.10445518,-5.614496708,1.669138193,-6.245798111,114.84375,0.559092592,mg
crop_012LANAVEDELOLVIDO.mp3,4,2426.257886,2829.779141,5110.926804,0.350983143,17380.78906,78243.90625,-166.5971527,151.3166351,-35.67606735,49.6423645,-11.95957947,24.372715,-12.31860352,9.624077797,5.271703243,-6.781710625,3.518962622,-10.62786102,4.331562519,-4.655199051,1.512457013,-2.593265533,-6.955875874,-2.044299603,-2.288275957,-2.987794161,99.38401442,0.740794287,mg
crop_08ChildrenOfBodom.mp3,12,3512.474725,3316.440581,7047.134394,0.515991211,28713.0957,77758.19531,-33.70536804,130.4647827,-59.30324173,62.56167603,-19.27143288,31.13241768,-18.43457222,22.10648155,-5.123530388,8.572768211,-6.721500397,2.416441202,3.043388128,0.320818841,1.738921404,-2.140939236,1.170460701,-7.126688957,3.737535477,-7.699007988,101.3327206,0.666916548,mg
crop_025ELAMORDEMIVIDA.mp3,3,2507.136537,3312.619991,5829.114946,0.377913326,18096.71094,82494.95313,-151.2712555,146.525238,-2.744522095,56.9348793,-12.62120724,19.85555267,-19.16043282,10.56065273,-5.434248924,4.236951351,-2.992636919,3.496028662,-3.104355335,-5.840855122,2.370282173,-4.273633957,-1.246145606,0.9270643,0.068203583,-5.394805431,99.38401442,0.683698007,mg
crop_069CORAZONCONTENTO.mp3,10,2226.223899,2263.815941,4214.751021,0.369095832,9077.942383,56578.55078,-164.9014282,165.3873749,-57.99485016,32.85926437,-8.221046448,15.40838337,-2.14971447,-1.411172509,1.817390323,-7.30411768,-0.001423218,-1.27666378,6.282539368,-4.750102997,-2.556321621,-3.693989992,-4.135861397,-1.616032362,-1.693608522,-4.157965183,151.9990809,0.609611257,mg
crop_070RAROTONGA.mp3,3,2758.460576,3517.374155,6326.747769,0.489204943,12950.83789,53838.65625,-154.9743347,129.7817688,-5.524262428,54.21146393,-5.691783428,31.86036873,-7.325902462,15.02369118,-8.584454536,4.946518421,-5.083098412,7.242844105,-0.141012773,2.216560841,2.026287317,1.391937375,5.493262768,-2.844364882,7.362706184,-4.292739868,161.4990234,0.40813194,mg
crop_100MENTIROSA.mp3,4,3059.138759,3504.586926,6647.378661,0.504881501,31314.78125,67307.78906,-50.45464706,135.9894867,-34.19304276,52.84763336,-10.12422848,33.40974808,-11.61214352,20.54535484,-5.894572735,8.864466667,-3.927403927,5.793485165,-0.735940099,4.533184528,1.969416618,-2.541842937,0.289855689,-3.082631588,3.839379072,-5.66145134,129.1992188,0.5305066,mg
